date,region,product_category,units_sold,revenue,cost,customer_age,customer_satisfaction,return_flag,discount_pct,profit
2023-01-01,East,Electronics,54,1982.31,1205.45,42,3.8,0,0,776.86
2023-01-02,North,Food,46,845.12,612.34,35,4.2,0,5,-767.22
2023-01-03,South,Clothing,62,2341.67,1567.23,28,3.5,0,10,774.44
2023-01-04,West,Books,38,456.78,302.15,51,4.7,0,0,154.63
2023-01-05,North,Sports,71,3125.89,2045.67,33,4.1,1,15,1080.22
2023-01-06,East,Electronics,44,1567.34,1023.56,47,3.2,0,5,543.78
2023-01-07,South,Food,55,923.45,678.12,29,4.5,0,0,245.33
2023-01-08,West,Clothing,49,1876.23,1345.67,38,3.9,0,20,530.56
2023-01-09,North,Books,41,567.89,401.23,55,4.8,0,0,166.66
2023-01-10,East,Sports,58,2789.56,1890.34,31,3.6,0,10,899.22
2023-01-11,South,Electronics,67,4521.34,2345.67,25,4.3,0,5,2175.67
2023-01-12,West,Food,43,712.56,534.23,44,4.0,0,0,178.33
2023-01-13,North,Clothing,52,1654.78,1123.45,36,3.7,1,15,531.33
2023-01-14,East,Books,36,423.67,312.56,48,4.6,0,0,111.11
2023-01-15,South,Sports,64,2956.78,1987.34,27,4.4,0,10,969.44
2023-01-16,West,Electronics,47,1789.45,1156.78,41,3.3,0,5,632.67
2023-01-17,North,Food,59,1045.23,789.45,34,4.1,0,0,255.78
2023-01-18,East,Clothing,51,2012.34,1456.78,30,3.8,0,20,555.56
2023-01-19,South,Books,39,512.45,378.90,52,4.9,0,0,133.55
2023-01-20,West,Sports,73,3456.78,2234.56,26,4.2,0,15,1222.22
2023-01-21,North,Electronics,56,2345.67,1567.89,39,,0,5,777.78
2023-01-22,East,Food,48,867.34,623.45,43,4.3,0,0,243.89
2023-01-23,South,Clothing,65,2567.89,1789.23,32,3.6,1,10,778.66
2023-01-24,West,Books,37,489.56,345.67,50,4.7,0,0,143.89
2023-01-25,North,Sports,61,2678.45,1823.56,28,4.0,0,15,854.89
2023-01-26,East,Electronics,45,1678.90,1089.34,46,3.4,0,5,589.56
2023-01-27,South,Food,57,978.56,712.34,33,4.5,0,0,266.22
2023-01-28,West,Clothing,50,1923.45,1378.90,37,3.9,0,20,544.55
2023-01-29,North,Books,42,534.78,389.12,54,4.8,0,0,145.66
2023-01-30,East,Sports,69,3234.56,2123.45,24,4.1,0,10,1111.11
2023-01-31,South,Electronics,53,2123.78,1345.67,40,3.5,0,5,778.11
2023-02-01,West,Food,46,789.23,567.89,45,4.2,0,0,221.34
2023-02-02,North,Clothing,63,2456.78,1678.90,31,3.7,0,15,777.88
2023-02-03,East,Books,35,445.67,323.45,49,4.6,1,0,122.22
2023-02-04,South,Sports,72,3345.67,2189.34,27,4.4,0,10,1156.33
2023-02-05,West,Electronics,48,1856.34,1234.56,42,3.2,0,5,621.78
2023-02-06,North,Food,54,934.56,689.23,36,4.3,0,0,245.33
2023-02-07,East,Clothing,60,2234.56,1567.89,29,3.8,0,20,666.67
2023-02-08,South,Books,40,523.45,378.90,53,4.9,0,0,144.55
2023-02-09,West,Sports,66,2890.12,1945.67,25,4.0,0,15,944.45
2023-02-10,North,Electronics,51,1923.67,,38,,0,5,
2023-02-11,East,Food,47,834.56,612.34,44,4.1,0,0,222.22
2023-02-12,South,Clothing,58,2123.45,1456.78,32,3.6,0,10,666.67
2023-02-13,West,Books,38,467.89,334.56,51,4.7,0,0,133.33
2023-02-14,North,Sports,74,3567.89,2345.67,26,4.2,1,15,1222.22
2023-02-15,East,Electronics,46,1734.56,1123.45,47,3.3,0,5,611.11
2023-02-16,South,Food,56,989.67,723.45,34,4.5,0,0,266.22
2023-02-17,West,Clothing,49,1845.23,1312.34,37,3.9,0,20,532.89
2023-02-18,North,Books,43,556.78,401.23,55,4.8,0,0,155.55
2023-02-19,East,Sports,68,3123.45,2089.34,30,4.1,0,10,1034.11
