survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,26.0,0,0,7.925,S,First,woman,False,,Southampton,yes,True
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
1,1,male,34.0,0,0,13.0,S,First,man,True,D,Southampton,yes,True
1,2,female,15.0,0,0,8.0292,Q,Second,child,False,,Queenstown,yes,True
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
0,3,female,,1,2,23.45,S,Third,woman,False,,Southampton,no,False
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,yes,True
1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
1,2,female,33.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
0,2,male,33.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,22.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
1,1,female,28.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
0,3,male,25.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False
0,3,female,39.0,0,5,29.125,Q,Third,woman,False,,Queenstown,no,False
0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,2,female,19.0,0,0,10.5,S,Second,woman,False,,Southampton,no,True
0,3,female,,1,2,23.45,S,Third,woman,False,,Southampton,no,False
1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
1,3,female,29.0,0,0,7.6292,Q,Third,woman,False,,Queenstown,yes,True
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
0,2,male,24.5,0,0,14.4542,C,Second,man,True,,Cherbourg,no,True
1,2,female,24.0,0,2,65.0,S,Second,woman,False,,Southampton,yes,False
0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
1,3,female,,0,0,69.55,S,Third,woman,False,,Southampton,yes,True
0,1,male,36.5,0,2,71.0,S,First,man,True,B,Southampton,no,False
1,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,yes,False
0,3,male,,0,0,7.05,S,Third,man,True,,Southampton,no,True
0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True
0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,1,female,,0,0,31.6833,S,First,woman,False,,Southampton,yes,True
0,3,male,,0,0,7.575,S,Third,man,True,,Southampton,no,True
0,3,male,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
1,1,female,30.0,0,0,164.8667,S,First,woman,False,C,Southampton,yes,True
0,3,male,,0,0,7.0458,S,Third,man,True,,Southampton,no,True
1,1,female,22.0,0,1,55.0,S,First,woman,False,B,Southampton,yes,False
0,1,male,60.0,1,1,75.25,C,First,man,True,D,Cherbourg,no,False
0,3,female,,0,0,6.4958,S,Third,woman,False,,Southampton,no,True
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
1,3,male,1.0,1,2,11.1333,S,Third,child,False,,Southampton,yes,False
0,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,no,False
0,3,male,,2,0,19.5,S,Third,man,True,,Southampton,no,False
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
1,3,female,29.0,1,0,7.0458,S,Third,woman,False,,Southampton,yes,False
0,3,male,21.0,0,0,9.8417,S,Third,man,True,,Southampton,no,True
0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
0,3,female,18.0,0,1,12.2875,S,Third,woman,False,,Southampton,no,False
1,2,male,1.0,0,2,24.15,S,Second,child,False,,Southampton,yes,False
0,3,male,0.83,0,2,18.75,S,Third,child,False,,Southampton,no,False
0,1,male,,0,0,25.7,S,First,man,True,,Southampton,no,True
0,3,male,36.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
1,1,female,45.5,0,0,28.5,S,First,woman,False,,Southampton,yes,True
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,6.4958,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
0,3,male,24.0,0,0,9.825,S,Third,man,True,,Southampton,no,True
0,3,male,26.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
